Item ID	TABSBFAM	IMAGNAME	TIMAGNAM
30 0083 4	EMW-083100	monoW-2.jpg	083-100.jpg
30 0083 5	EMW-083100	monoW-2.jpg	083-100.jpg
30 0083 6	EMW-083100	monoW-2.jpg	083-100.jpg
30 0083 8	EMW-083100	monoW-2.jpg	083-100.jpg
30 0110 4	EMW-11080	monoW-2.jpg	110-80.jpg
30 0110 5	EMW-11080	monoW-2.jpg	110-80.jpg
30 0110 6	EMW-11080	monoW-2.jpg	110-80.jpg
30 0110 8	EMW-11080	monoW-2.jpg	110-80.jpg
30 0123 4	EMW-12370	monoW-2.jpg	123-70.jpg
30 0123 5	EMW-12370	monoW-2.jpg	123-70.jpg
30 0123 6	EMW-12370	monoW-2.jpg	123-70.jpg
30 0137 4	EMW-13764	monoW-2.jpg	137-64.jpg
30 0137 5	EMW-13764	monoW-2.jpg	137-64.jpg
30 0137 6	EMW-13764	monoW-2.jpg	137-64.jpg
30 0156 4	EMW-15664	monoW-2.jpg	156-64.jpg
30 0156 5	EMW-15664	monoW-2.jpg	156-64.jpg
30 0156 6	EMW-15664	monoW-2.jpg	156-64.jpg
30 0156 8	EMW-15664	monoW-2.jpg	156-64.jpg
30 0156 9	EMW-15664	monoW-2.jpg	156-64.jpg
30 0175 6	EMW-17555	monoW-2.jpg	175-55.jpg
30 0180 4	EMW-18055	monoW-2.jpg	180-55.jpg
30 0180 5	EMW-18055	monoW-2.jpg	180-55.jpg
30 0180 6	EMW-18055	monoW-2.jpg	180-55.jpg
30 0195 4	EMW-19555	monoW-2.jpg	195-55.jpg
30 0195 5	EMW-19555	monoW-2.jpg	195-55.jpg
30 0195 6	EMW-19555	monoW-2.jpg	195-55.jpg
30 0195 8	EMW-19555	monoW-2.jpg	195-55.jpg
30 0230 4	EMW-23048	monoW-2.jpg	230-48.jpg
30 0230 5	EMW-23048	monoW-2.jpg	230-48.jpg
30 0230 6	EMW-23048	monoW-2.jpg	230-48.jpg
30 1110 5	EMY-11080	monoY-2.jpg	110-80.jpg
30 1110 6	EMY-11080	monoY-2.jpg	110-80.jpg
30 1137 6	EMY-13764	monoY-2.jpg	137-64.jpg
30 1156 4	EMY-15664	monoY-2.jpg	156-64.jpg
30 1156 5	EMY-15664	monoY-2.jpg	156-64.jpg
30 1156 6	EMY-15664	monoY-2.jpg	156-64.jpg
30 1180 113	EMY-18055	monoY-2.jpg	195-55.jpg
30 1180 5	EMY-18055	monoY-2.jpg	180-55.jpg
30 1180 6	EMY-18055	monoY-2.jpg	180-55.jpg
30 1195 4	EMY-19555	monoY-2.jpg	195-55.jpg
30 1195 5	EMY-19555	monoY-2.jpg	195-55.jpg
30 1195 6	EMY-19555	monoY-2.jpg	195-55.jpg
30 1195 9	EMY-19555	monoY-2.jpg	195-55.jpg
30 1230 4	EMY-23048	monoY-2.jpg	230-48.jpg
30 1230 5	EMY-23048	monoY-2.jpg	230-48.jpg
30 1230 6	EMY-23048	monoY-2.jpg	230-48.jpg
30 1230 8	EMY-23048	monoY-2.jpg	230-48.jpg
30 1255 4	EMY-25540	monoY-2.jpg	255-40.jpg
30 1255 5	EMY-25540	monoY-2.jpg	255-40.jpg
30 1255 6	EMY-25540	monoY-2.jpg	255-40.jpg
30 1280 6	EMY-28040	monoY-2.jpg	280-40.jpg
30 1305 4	EMY-30534	monoY-2.jpg	305-34.jpg
30 1305 5	EMY-30534	monoY-2.jpg	305-34.jpg
30 1305 6	EMY-30534	monoY-2.jpg	305-34.jpg
30 1305 8	EMY-30534	monoY-2.jpg	305-34.jpg
30 2305 124	EMY-30534	monoY-2.jpg	305-34.jpg
30 2305 5	EMY-30534	monoY-2.jpg	305-34.jpg
30 2305 6	EMY-30534	monoY-2.jpg	305-34.jpg
30 6195 6	EMY-19548	monoY-2.jpg	195-48.jpg
34 1006 4	6XX	multi.jpg	6xx.jpg
34 1006 5	6XX	multi.jpg	6xx.jpg
34 1006 6	6XX	multi.jpg	6xx.jpg
34 1006 7	6XX	multi.jpg	6xx.jpg
34 1008 4	8XX	multi.jpg	8xx.jpg
34 1008 5	8XX	multi.jpg	8xx.jpg
34 1008 6	8XX	multi.jpg	8xx.jpg
34 1008 8	8XX	multi.jpg	8xx.jpg
34 1010 4	10XX	multi.jpg	10xx.jpg
34 1010 5	10XX	multi.jpg	10xx.jpg
34 1010 6	10XX	multi.jpg	10xx.jpg
34 1010 8	10XX	multi.jpg	10xx.jpg
34 1012 4	12XX	multi.jpg	12xx.jpg
34 1012 5	12XX	multi.jpg	12xx.jpg
34 1012 6	12XX	multi.jpg	12xx.jpg
34 1012 8	12XX	multi.jpg	12xx.jpg
34 1014 4	14XX	multi.jpg	14xx.jpg
34 1014 5	14XX	multi.jpg	14xx.jpg
34 1014 6	14XX	multi.jpg	14xx.jpg
35 0195 4	PET-Y-19548	monoY-2.jpg	195-48.jpg
35 0195 5	PET-Y-19548	monoY-2.jpg	195-48.jpg
35 0230 4	PET-Y-23040	monoY-2.jpg	230-40.jpg
35 0230 5	PET-Y-23040	monoY-2.jpg	230-40.jpg
35 0230 6	PET-Y-23040	monoY-2.jpg	230-40.jpg
35 0230 8	PET-Y-23040	monoY-2.jpg	230-40.jpg
35 0305 4	PET-Y-30531	monoY-2.jpg	305-31.jpg
35 0305 5	PET-Y-30531	monoY-2.jpg	305-31.jpg
35 0305 6	PET-Y-30531	monoY-2.jpg	305-31.jpg
35 0355 4	PET-Y-35531	monoY-2.jpg	355-31.jpg
35 0355 5	PET-Y-35531	monoY-2.jpg	355-31.jpg
35 0355 6	PET-Y-35531	monoY-2.jpg	355-31.jpg
35 0355 8	PET-Y-35531	monoY-2.jpg	355-31.jpg
35 0380 4	PET-Y-38031	monoY-2.jpg	380-31.jpg
35 0380 5	PET-Y-38031	monoY-2.jpg	380-31.jpg
35 0380 6	PET-Y-38031	monoY-2.jpg	380-31.jpg
35 0380 8	PET-Y-38031	monoY-2.jpg	380-31.jpg
35 0420 4	PET-Y-42031	monoY-2.jpg	420-31.jpg
35 0420 5	PET-Y-42031	monoY-2.jpg	420-31.jpg
35 1083 4	PET-Y-083100	monoY-2.jpg	083-100.jpg
35 1083 6	PET-Y-083100	monoY-2.jpg	083-100.jpg
35 1110 4	PET-Y-11080	monoY-2.jpg	110-80.jpg
35 1110 5	PET-Y-11080	monoY-2.jpg	110-80.jpg
35 1110 6	PET-Y-11080	monoY-2.jpg	110-80.jpg
35 1110 8	PET-Y-11080	monoY-2.jpg	110-80.jpg
35 1123 4	PET-Y-12370	monoY-2.jpg	123-70.jpg
35 1123 5	PET-Y-12370	monoY-2.jpg	123-70.jpg
35 1123 6	PET-Y-12370	monoY-2.jpg	123-70.jpg
35 1137 4	PET-Y-13764	monoY-2.jpg	137-64.jpg
35 1137 5	PET-Y-13764	monoY-2.jpg	137-64.jpg
35 1137 6	PET-Y-13764	monoY-2.jpg	137-64.jpg
35 1156 4	PET-Y-15664	monoY-2.jpg	156-64.jpg
35 1156 5	PET-Y-15664	monoY-2.jpg	156-64.jpg
35 1156 6	PET-Y-15664	monoY-2.jpg	156-64.jpg
35 1156 7	PET-Y-15664	monoY-2.jpg	156-64.jpg
35 1156 8	PET-Y-15664	monoY-2.jpg	156-64.jpg
35 1175 4	PET-Y-17555	monoY-2.jpg	175-55.jpg
35 1175 5	PET-Y-17555	monoY-2.jpg	175-55.jpg
35 1175 6	PET-Y-17555	monoY-2.jpg	175-55.jpg
35 1175 8	PET-Y-17555	monoY-2.jpg	175-55.jpg
35 1195 4	PET-Y-19555	monoY-2.jpg	195-55.jpg
35 1195 5	PET-Y-19555	monoY-2.jpg	195-55.jpg
35 1195 6	PET-Y-19555	monoY-2.jpg	195-55.jpg
35 1230 100	PET-Y-23048	monoY-2.jpg	230-48.jpg
35 1230 4	PET-Y-23048	monoY-2.jpg	230-48.jpg
35 1230 5	PET-Y-23048	monoY-2.jpg	230-48.jpg
35 1230 6	PET-Y-23048	monoY-2.jpg	230-48.jpg
35 1230 8	PET-Y-23048	monoY-2.jpg	230-48.jpg
35 1255 4	PET-Y-25540	monoY-2.jpg	255-40.jpg
35 1255 5	PET-Y-25540	monoY-2.jpg	255-40.jpg
35 1255 6	PET-Y-25540	monoY-2.jpg	255-40.jpg
35 1255 8	PET-Y-25540	monoY-2.jpg	255-40.jpg
35 1280 4	PET-Y-28034	monoY-2.jpg	280-34.jpg
35 1280 5	PET-Y-28034	monoY-2.jpg	280-34.jpg
35 1280 6	PET-Y-28034	monoY-2.jpg	280-34.jpg
35 1280 8	PET-Y-28034	monoY-2.jpg	280-34.jpg
35 1305 100	PET-Y-30534	monoY-2.jpg	305-34.jpg
35 1305 4	PET-Y-30534	monoY-2.jpg	305-34.jpg
35 1305 5	PET-Y-30534	monoY-2.jpg	305-34.jpg
35 1305 6	PET-Y-30534	monoY-2.jpg	305-34.jpg
35 1305 8	PET-Y-30534	monoY-2.jpg	305-34.jpg
35 1330 4	PET-Y-33034	monoY-2.jpg	330-34.jpg
35 1330 5	PET-Y-33034	monoY-2.jpg	330-34.jpg
35 1330 6	PET-Y-33034	monoY-2.jpg	330-34.jpg
35 1355 4	PET-Y-35534	monoY-2.jpg	355-34.jpg
35 1355 5	PET-Y-35534	monoY-2.jpg	355-34.jpg
35 1355 6	PET-Y-35534	monoY-2.jpg	355-34.jpg
35 1355 8	PET-Y-35534	monoY-2.jpg	355-34.jpg
35 1380 4	PET-Y-38034	monoY-2.jpg	380-34.jpg
